tau,bandwidth,power,outcome,y_mean
0.133,MSE-optimal,0.606264122260603,quality,13.2784468212836
0.133,"(15, 17)",0.852494400017665,quality,13.2784468212836
0.134,MSE-optimal,0.612697269836722,quality,13.2784468212836
0.134,"(15, 17)",0.857645709613633,quality,13.2784468212836
0.135,MSE-optimal,0.619099677973734,quality,13.2784468212836
0.135,"(15, 17)",0.862673920537921,quality,13.2784468212836
0.136,MSE-optimal,0.625469699314153,quality,13.2784468212836
0.136,"(15, 17)",0.867579465822209,quality,13.2784468212836
0.137,MSE-optimal,0.631805713279894,quality,13.2784468212836
0.137,"(15, 17)",0.872362891819623,quality,13.2784468212836
0.138,MSE-optimal,0.638106127278346,quality,13.2784468212836
0.138,"(15, 17)",0.877024854581589,quality,13.2784468212836
0.139,MSE-optimal,0.644369377871567,quality,13.2784468212836
0.139,"(15, 17)",0.881566116103762,quality,13.2784468212836
0.14,MSE-optimal,0.650593931907141,quality,13.2784468212836
0.14,"(15, 17)",0.885987540453769,quality,13.2784468212836
0.141,MSE-optimal,0.656778287609263,quality,13.2784468212836
0.141,"(15, 17)",0.890290089793532,quality,13.2784468212836
0.142,MSE-optimal,0.662920975628732,quality,13.2784468212836
0.142,"(15, 17)",0.894474820308931,quality,13.2784468212836
0.143,MSE-optimal,0.669020560050608,quality,13.2784468212836
0.143,"(15, 17)",0.898542878059513,quality,13.2784468212836
0.144,MSE-optimal,0.675075639358342,quality,13.2784468212836
0.144,"(15, 17)",0.902495494760857,quality,13.2784468212836
0.145,MSE-optimal,0.681084847353314,quality,13.2784468212836
0.145,"(15, 17)",0.906333983512052,quality,13.2784468212836
0.146,MSE-optimal,0.687046854028756,quality,13.2784468212836
0.146,"(15, 17)",0.910059734480598,quality,13.2784468212836
0.147,MSE-optimal,0.692960366397153,quality,13.2784468212836
0.147,"(15, 17)",0.913674210556777,quality,13.2784468212836
0.148,MSE-optimal,0.69882412927029,quality,13.2784468212836
0.148,"(15, 17)",0.917178942989316,quality,13.2784468212836
0.149,MSE-optimal,0.704636925991192,quality,13.2784468212836
0.149,"(15, 17)",0.920575527013877,quality,13.2784468212836
0.15,MSE-optimal,0.710397579117313,quality,13.2784468212836
0.15,"(15, 17)",0.923865617485561,quality,13.2784468212836
0.151,MSE-optimal,0.716104951054403,quality,13.2784468212836
0.151,"(15, 17)",0.927050924526297,quality,13.2784468212836
0.152,MSE-optimal,0.721757944640566,quality,13.2784468212836
0.152,"(15, 17)",0.93013320919757,quality,13.2784468212836
0.153,MSE-optimal,0.727355503680141,quality,13.2784468212836
0.153,"(15, 17)",0.933114279208579,quality,13.2784468212836
0.154,MSE-optimal,0.732896613427083,quality,13.2784468212836
0.154,"(15, 17)",0.93599598466945,quality,13.2784468212836
0.155,MSE-optimal,0.738380301017647,quality,13.2784468212836
0.155,"(15, 17)",0.938780213898718,quality,13.2784468212836
0.156,MSE-optimal,0.743805635852257,quality,13.2784468212836
0.156,"(15, 17)",0.94146888929379,quality,13.2784468212836
0.157,MSE-optimal,0.749171729926509,quality,13.2784468212836
0.157,"(15, 17)",0.944063963272659,quality,13.2784468212836
0.158,MSE-optimal,0.75447773811137,quality,13.2784468212836
0.158,"(15, 17)",0.946567414294613,quality,13.2784468212836
0.159,MSE-optimal,0.759722858382712,quality,13.2784468212836
0.159,"(15, 17)",0.948981242967209,quality,13.2784468212836
0.16,MSE-optimal,0.764906332000399,quality,13.2784468212836
0.16,"(15, 17)",0.951307468246227,quality,13.2784468212836
0.161,MSE-optimal,0.770027443637232,quality,13.2784468212836
0.161,"(15, 17)",0.953548123734873,quality,13.2784468212836
0.162,MSE-optimal,0.775085521458138,quality,13.2784468212836
0.162,"(15, 17)",0.955705254087885,quality,13.2784468212836
0.163,MSE-optimal,0.780079937150068,quality,13.2784468212836
0.163,"(15, 17)",0.957780911525761,quality,13.2784468212836
0.164,MSE-optimal,0.785010105903156,quality,13.2784468212836
0.164,"(15, 17)",0.959777152463755,quality,13.2784468212836
0.165,MSE-optimal,0.789875486343744,quality,13.2784468212836
0.165,"(15, 17)",0.961696034259781,quality,13.2784468212836
0.166,MSE-optimal,0.79467558041998,quality,13.2784468212836
0.166,"(15, 17)",0.963539612084854,quality,13.2784468212836
0.167,MSE-optimal,0.799409933240741,quality,13.2784468212836
0.167,"(15, 17)",0.965309935919192,quality,13.2784468212836
0.168,MSE-optimal,0.804078132868726,quality,13.2784468212836
0.168,"(15, 17)",0.967009047676601,quality,13.2784468212836
0.169,MSE-optimal,0.808679810068607,quality,13.2784468212836
0.169,"(15, 17)",0.968638978459271,quality,13.2784468212836
0.17,MSE-optimal,0.813214638011209,quality,13.2784468212836
0.17,"(15, 17)",0.970201745944647,quality,13.2784468212836
0.171,MSE-optimal,0.817682331934736,quality,13.2784468212836
0.171,"(15, 17)",0.971699351905572,quality,13.2784468212836
0.172,MSE-optimal,0.822082648764133,quality,13.2784468212836
0.172,"(15, 17)",0.973133779864437,quality,13.2784468212836
0.173,MSE-optimal,0.826415386689708,quality,13.2784468212836
