tau,bandwidth,power,outcome,y_mean
0.0505,"(15, 17)",0.999999999919662,enrol_year_bac_all_0914,0.943976945244957
0.051,MSE-optimal,0.999999735401453,enrol_year_bac_all_0914,0.943976945244957
0.051,"(15, 17)",0.999999999953403,enrol_year_bac_all_0914,0.943976945244957
0.0515,MSE-optimal,0.999999815020173,enrol_year_bac_all_0914,0.943976945244957
0.0515,"(15, 17)",0.999999999973154,enrol_year_bac_all_0914,0.943976945244957
0.052,MSE-optimal,0.999999871265531,enrol_year_bac_all_0914,0.943976945244957
0.052,"(15, 17)",0.999999999984636,enrol_year_bac_all_0914,0.943976945244957
0.0525,MSE-optimal,0.999999910813841,enrol_year_bac_all_0914,0.943976945244957
0.0525,"(15, 17)",0.999999999991266,enrol_year_bac_all_0914,0.943976945244957
0.053,MSE-optimal,0.99999993849211,enrol_year_bac_all_0914,0.943976945244957
0.053,"(15, 17)",0.999999999995068,enrol_year_bac_all_0914,0.943976945244957
0.0535,MSE-optimal,0.99999995777267,enrol_year_bac_all_0914,0.943976945244957
0.0535,"(15, 17)",0.999999999997234,enrol_year_bac_all_0914,0.943976945244957
0.054,MSE-optimal,0.999999971140783,enrol_year_bac_all_0914,0.943976945244957
0.054,"(15, 17)",0.999999999998459,enrol_year_bac_all_0914,0.943976945244957
0.0545,MSE-optimal,0.999999980366292,enrol_year_bac_all_0914,0.943976945244957
0.0545,"(15, 17)",0.999999999999147,enrol_year_bac_all_0914,0.943976945244957
0.055,MSE-optimal,0.999999986703242,enrol_year_bac_all_0914,0.943976945244957
0.055,"(15, 17)",0.999999999999531,enrol_year_bac_all_0914,0.943976945244957
0.0555,MSE-optimal,0.999999991035756,enrol_year_bac_all_0914,0.943976945244957
0.0555,"(15, 17)",0.999999999999744,enrol_year_bac_all_0914,0.943976945244957
0.056,MSE-optimal,0.99999999398404,enrol_year_bac_all_0914,0.943976945244957
0.056,"(15, 17)",0.999999999999861,enrol_year_bac_all_0914,0.943976945244957
0.0565,MSE-optimal,0.999999995980997,enrol_year_bac_all_0914,0.943976945244957
0.0565,"(15, 17)",0.999999999999925,enrol_year_bac_all_0914,0.943976945244957
0.057,MSE-optimal,0.999999997327283,enrol_year_bac_all_0914,0.943976945244957
0.057,"(15, 17)",0.99999999999996,enrol_year_bac_all_0914,0.943976945244957
0.0575,MSE-optimal,0.999999998230675,enrol_year_bac_all_0914,0.943976945244957
0.0575,"(15, 17)",0.999999999999979,enrol_year_bac_all_0914,0.943976945244957
0.058,MSE-optimal,0.999999998834046,enrol_year_bac_all_0914,0.943976945244957
0.058,"(15, 17)",0.999999999999989,enrol_year_bac_all_0914,0.943976945244957
0.0585,MSE-optimal,0.999999999235156,enrol_year_bac_all_0914,0.943976945244957
0.0585,"(15, 17)",0.999999999999994,enrol_year_bac_all_0914,0.943976945244957
0.059,MSE-optimal,0.999999999500562,enrol_year_bac_all_0914,0.943976945244957
0.059,"(15, 17)",0.999999999999997,enrol_year_bac_all_0914,0.943976945244957
0.0595,MSE-optimal,0.999999999675356,enrol_year_bac_all_0914,0.943976945244957
0.0595,"(15, 17)",0.999999999999998,enrol_year_bac_all_0914,0.943976945244957
0.06,MSE-optimal,0.999999999789938,enrol_year_bac_all_0914,0.943976945244957
0.06,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.0605,MSE-optimal,0.999999999864699,enrol_year_bac_all_0914,0.943976945244957
0.0605,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.061,MSE-optimal,0.99999999991325,enrol_year_bac_all_0914,0.943976945244957
0.061,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.0615,MSE-optimal,0.999999999944633,enrol_year_bac_all_0914,0.943976945244957
0.0615,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.062,MSE-optimal,0.999999999964824,enrol_year_bac_all_0914,0.943976945244957
0.062,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.0625,MSE-optimal,0.999999999977754,enrol_year_bac_all_0914,0.943976945244957
0.0625,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.063,MSE-optimal,0.999999999985996,enrol_year_bac_all_0914,0.943976945244957
0.063,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.0635,MSE-optimal,0.999999999991224,enrol_year_bac_all_0914,0.943976945244957
0.0635,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.064,MSE-optimal,0.999999999994526,enrol_year_bac_all_0914,0.943976945244957
0.064,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.0645,MSE-optimal,0.999999999996601,enrol_year_bac_all_0914,0.943976945244957
0.0645,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.065,MSE-optimal,0.999999999997899,enrol_year_bac_all_0914,0.943976945244957
0.065,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.0655,MSE-optimal,0.999999999998707,enrol_year_bac_all_0914,0.943976945244957
0.0655,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.066,MSE-optimal,0.999999999999208,enrol_year_bac_all_0914,0.943976945244957
0.066,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.0665,MSE-optimal,0.999999999999517,enrol_year_bac_all_0914,0.943976945244957
0.0665,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.067,MSE-optimal,0.999999999999707,enrol_year_bac_all_0914,0.943976945244957
0.067,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.0675,MSE-optimal,0.999999999999823,enrol_year_bac_all_0914,0.943976945244957
0.0675,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.068,MSE-optimal,0.999999999999894,enrol_year_bac_all_0914,0.943976945244957
0.068,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.0685,MSE-optimal,0.999999999999936,enrol_year_bac_all_0914,0.943976945244957
0.0685,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.069,MSE-optimal,0.999999999999962,enrol_year_bac_all_0914,0.943976945244957
0.069,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.0695,MSE-optimal,0.999999999999977,enrol_year_bac_all_0914,0.943976945244957
0.0695,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.07,MSE-optimal,0.999999999999987,enrol_year_bac_all_0914,0.943976945244957
0.07,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.0705,MSE-optimal,0.999999999999992,enrol_year_bac_all_0914,0.943976945244957
0.0705,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.071,MSE-optimal,0.999999999999995,enrol_year_bac_all_0914,0.943976945244957
0.071,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.0715,MSE-optimal,0.999999999999997,enrol_year_bac_all_0914,0.943976945244957
0.0715,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.072,MSE-optimal,0.999999999999998,enrol_year_bac_all_0914,0.943976945244957
0.072,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.0725,MSE-optimal,1,enrol_year_bac_all_0914,0.943976945244957
0.0725,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.073,MSE-optimal,1,enrol_year_bac_all_0914,0.943976945244957
0.073,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.0735,MSE-optimal,1,enrol_year_bac_all_0914,0.943976945244957
0.0735,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.074,MSE-optimal,1,enrol_year_bac_all_0914,0.943976945244957
0.074,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.0745,MSE-optimal,1,enrol_year_bac_all_0914,0.943976945244957
0.0745,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.075,MSE-optimal,1,enrol_year_bac_all_0914,0.943976945244957
0.075,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.0755,MSE-optimal,1,enrol_year_bac_all_0914,0.943976945244957
0.0755,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.076,MSE-optimal,1,enrol_year_bac_all_0914,0.943976945244957
0.076,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.0765,MSE-optimal,1,enrol_year_bac_all_0914,0.943976945244957
0.0765,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.077,MSE-optimal,1,enrol_year_bac_all_0914,0.943976945244957
0.077,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.0775,MSE-optimal,1,enrol_year_bac_all_0914,0.943976945244957
0.0775,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.078,MSE-optimal,1,enrol_year_bac_all_0914,0.943976945244957
0.078,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.0785,MSE-optimal,1,enrol_year_bac_all_0914,0.943976945244957
0.0785,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.079,MSE-optimal,1,enrol_year_bac_all_0914,0.943976945244957
0.079,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.0795,MSE-optimal,1,enrol_year_bac_all_0914,0.943976945244957
0.0795,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.08,MSE-optimal,1,enrol_year_bac_all_0914,0.943976945244957
0.08,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.0805,MSE-optimal,1,enrol_year_bac_all_0914,0.943976945244957
0.0805,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.081,MSE-optimal,1,enrol_year_bac_all_0914,0.943976945244957
0.081,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.0815,MSE-optimal,1,enrol_year_bac_all_0914,0.943976945244957
0.0815,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.082,MSE-optimal,1,enrol_year_bac_all_0914,0.943976945244957
0.082,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.0825,MSE-optimal,1,enrol_year_bac_all_0914,0.943976945244957
0.0825,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.083,MSE-optimal,1,enrol_year_bac_all_0914,0.943976945244957
0.083,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.0835,MSE-optimal,1,enrol_year_bac_all_0914,0.943976945244957
0.0835,"(15, 17)",1,enrol_year_bac_all_0914,0.943976945244957
0.084,MSE-optimal,1,enrol_year_bac_all_0914,0.943976945244957
