coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,donut,controls,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper,pcs_depp,mean_y,outcome,bandwidth
-0.0139854213067889,-0.0233113718525502,0.0243479849428503,0.0275602080954711,0.565698854688641,0.397645136734336,8236,5197,1,0.909907003941394,2.04501033429088,16,TRUE,FALSE,"","",-0.0617074717947755,0.0337366291811976,-0.0773293797196734,0.0307066360145731,Low SES,0.768341485104491,enrol_3_anytime_all_0914,mse
-0.00818091585738023,-0.0128289426751915,0.0161870323396256,0.0192501995146256,0.613278365131487,0.505135223134834,12602,7904,1,1.10871692093997,2.28312560861318,16,TRUE,FALSE,"","",-0.0399074992430464,0.0235456675282859,-0.0505593337238578,0.0249014483734747,Middle SES,0.815881666017906,enrol_3_anytime_all_0914,mse
-0.0270485523931563,-0.0326750203014892,0.0224414960086178,0.027109238217732,0.22809065214054,0.228083872874206,5854,4272,1,1.01472542817656,2.02464840533547,16,TRUE,FALSE,"","",-0.0710338845700471,0.0169367797837345,-0.0858091272082438,0.0204590866052655,High SES,0.854760250173732,enrol_3_anytime_all_0914,mse
-0.0211279353389617,-0.0367952309727055,0.0590479885037097,0.0709813461543706,0.720485828751795,0.604193944858919,1474,748,1,1.08123766092254,2.09013651286684,16,TRUE,FALSE,"","",-0.136861992806233,0.0946061221283093,-0.175918669435272,0.102328207489861,Missing,0.696369636963696,enrol_3_anytime_all_0914,mse
-0.0188900716604374,-0.0666089466559443,0.0174113648465972,0.0537535299566212,0.277953687499011,0.21528816223841,8244,7672,1,1,1,16,TRUE,FALSE,"","",-0.0530163467597679,0.0152362034388931,-0.171965865370922,0.0387479720590332,Very High SES,0.864775413711584,enrol_3_anytime_all_0914,"(15, 17)"
-0.0164265216338972,0.0252283907602,0.0214865153737264,0.0665907567946586,0.444567101261645,0.704793873978453,9601,5502,1,1,1,16,TRUE,FALSE,"","",-0.058540091766401,0.0256870484986065,-0.105289492557331,0.155746274077731,Low SES,0.768341485104491,enrol_3_anytime_all_0914,"(15, 17)"
-0.00836762777808398,0.0180415934348783,0.0182792671059841,0.055459377902757,0.64712053405655,0.744945054891543,10549,7279,1,1,1,16,TRUE,FALSE,"","",-0.0441949913058129,0.0274597357496449,-0.0906587872545254,0.126741974124282,Middle SES,0.815881666017906,enrol_3_anytime_all_0914,"(15, 17)"
-0.0290085512594924,-0.0801274211416945,0.0228935683611578,0.0718825268829221,0.205117805428334,0.264979189324452,5610,4200,1,1,1,16,TRUE,FALSE,"","",-0.0738799452473617,0.0158628427283768,-0.221017173832222,0.0607623315488328,High SES,0.854760250173732,enrol_3_anytime_all_0914,"(15, 17)"
-0.00756915001409597,0.00380772011450059,0.0644582700223003,0.194217734967496,0.906521581727976,0.984358140750637,1230,704,1,1,1,16,TRUE,FALSE,"","",-0.133907359257805,0.118769059229613,-0.376859040421792,0.384474480650794,Missing,0.696369636963696,enrol_3_anytime_all_0914,"(15, 17)"
-0.0408171910961315,-0.0734497042916615,0.0826178133510929,0.0959688460684138,0.621272061460062,0.444063480796142,8893,7899,1,1.07483007719865,2.37425925347486,16,TRUE,FALSE,"","",-0.202748105264274,0.121113723072011,-0.261548642585753,0.11464923400243,Very High SES,13.6701826656853,quality,mse
