freq,id,year_bac_plus,echelon
10,230,1,0bis
10,230,2,6
10,230,3,4
30,231,1,0bis
30,231,2,6
30,231,3,5
57,232,1,0bis
57,232,2,6
57,232,3,6
11,233,1,0bis
11,233,2,6
11,233,3,7
13,234,1,0bis
13,234,2,6
13,234,3,"enrolled + FA app.
but not eligible"
4,235,1,0bis
4,235,2,6
4,235,3,"not enrolled + FA app.
but not eligible"
38,236,1,0bis
38,236,2,6
38,236,3,
1,237,1,0bis
1,237,2,7
1,237,3,0bis
2,238,1,0bis
2,238,2,7
2,238,3,1
1,239,1,0bis
1,239,2,7
1,239,3,2
1,240,1,0bis
1,240,2,7
1,240,3,3
1,241,1,0bis
1,241,2,7
1,241,3,4
1,242,1,0bis
1,242,2,7
1,242,3,5
17,243,1,0bis
17,243,2,7
17,243,3,6
37,244,1,0bis
37,244,2,7
37,244,3,7
4,245,1,0bis
4,245,2,7
4,245,3,"enrolled + FA app.
but not eligible"
21,246,1,0bis
21,246,2,7
21,246,3,
16,247,1,0bis
16,247,2,"enrolled + FA app.
but not eligible"
16,247,3,0
601,248,1,0bis
601,248,2,"enrolled + FA app.
but not eligible"
601,248,3,0bis
61,249,1,0bis
61,249,2,"enrolled + FA app.
but not eligible"
61,249,3,1
11,250,1,0bis
11,250,2,"enrolled + FA app.
but not eligible"
11,250,3,2
18,251,1,0bis
18,251,2,"enrolled + FA app.
but not eligible"
18,251,3,3
6,252,1,0bis
6,252,2,"enrolled + FA app.
but not eligible"
6,252,3,4
12,253,1,0bis
12,253,2,"enrolled + FA app.
but not eligible"
12,253,3,5
4,254,1,0bis
4,254,2,"enrolled + FA app.
but not eligible"
4,254,3,6
4,255,1,0bis
4,255,2,"enrolled + FA app.
but not eligible"
4,255,3,7
589,256,1,0bis
589,256,2,"enrolled + FA app.
but not eligible"
589,256,3,"enrolled + FA app.
but not eligible"
36,257,1,0bis
36,257,2,"enrolled + FA app.
but not eligible"
36,257,3,"not enrolled + FA app.
but not eligible"
1750,258,1,0bis
1750,258,2,"enrolled + FA app.
but not eligible"
1750,258,3,
2,259,1,0bis
2,259,2,"not enrolled + FA app.
but not eligible"
2,259,3,0
27,260,1,0bis
27,260,2,"not enrolled + FA app.
but not eligible"
27,260,3,0bis
2,261,1,0bis
2,261,2,"not enrolled + FA app.
but not eligible"
2,261,3,1
2,262,1,0bis
2,262,2,"not enrolled + FA app.
but not eligible"
2,262,3,3
7,263,1,0bis
7,263,2,"not enrolled + FA app.
but not eligible"
7,263,3,"enrolled + FA app.
but not eligible"
19,264,1,0bis
19,264,2,"not enrolled + FA app.
but not eligible"
19,264,3,"not enrolled + FA app.
but not eligible"
286,265,1,0bis
286,265,2,"not enrolled + FA app.
but not eligible"
286,265,3,
43,266,1,0bis
43,266,2,
43,266,3,0
1094,267,1,0bis
1094,267,2,
1094,267,3,0bis
213,268,1,0bis
213,268,2,
213,268,3,1
46,269,1,0bis
46,269,2,
46,269,3,2
43,270,1,0bis
43,270,2,
43,270,3,3
25,271,1,0bis
25,271,2,
25,271,3,4
28,272,1,0bis
28,272,2,
28,272,3,5
14,273,1,0bis
14,273,2,
14,273,3,6
11,274,1,0bis
11,274,2,
11,274,3,7
238,275,1,0bis
238,275,2,
238,275,3,"enrolled + FA app.
but not eligible"
57,276,1,0bis
57,276,2,
57,276,3,"not enrolled + FA app.
but not eligible"
11546,277,1,0bis
11546,277,2,
11546,277,3,
5815,278,1,1
5815,278,2,0
5815,278,3,0
2163,279,1,1
2163,279,2,0
2163,279,3,0bis
2454,280,1,1
2454,280,2,0
2454,280,3,1
319,281,1,1
319,281,2,0
319,281,3,2
187,282,1,1
187,282,2,0
187,282,3,3
111,283,1,1
111,283,2,0
111,283,3,4
103,284,1,1
103,284,2,0
103,284,3,5
67,285,1,1
67,285,2,0
67,285,3,6
4,286,1,1
4,286,2,0
4,286,3,7
1022,287,1,1
1022,287,2,0
1022,287,3,"enrolled + FA app.
but not eligible"
167,288,1,1
167,288,2,0
167,288,3,"not enrolled + FA app.
but not eligible"
6006,289,1,1
6006,289,2,0
6006,289,3,
285,290,1,1
285,290,2,0bis
285,290,3,0
9292,291,1,1
9292,291,2,0bis
9292,291,3,0bis
2614,292,1,1
2614,292,2,0bis
2614,292,3,1
338,293,1,1
338,293,2,0bis
338,293,3,2
143,294,1,1
143,294,2,0bis
143,294,3,3
108,295,1,1
108,295,2,0bis
108,295,3,4
100,296,1,1
100,296,2,0bis
100,296,3,5
49,297,1,1
49,297,2,0bis
49,297,3,6
15,298,1,1
15,298,2,0bis
15,298,3,7
1220,299,1,1
1220,299,2,0bis
1220,299,3,"enrolled + FA app.
but not eligible"
224,300,1,1
224,300,2,0bis
224,300,3,"not enrolled + FA app.
but not eligible"
5386,301,1,1
5386,301,2,0bis
5386,301,3,
4692,302,1,1
4692,302,2,1
4692,302,3,0
9384,303,1,1
9384,303,2,1
9384,303,3,0bis
31599,304,1,1
31599,304,2,1
31599,304,3,1
5038,305,1,1
5038,305,2,1
5038,305,3,2
1613,306,1,1
1613,306,2,1
1613,306,3,3
692,307,1,1
692,307,2,1
692,307,3,4
587,308,1,1
587,308,2,1
587,308,3,5
270,309,1,1
270,309,2,1
270,309,3,6
50,310,1,1
50,310,2,1
50,310,3,7
2893,311,1,1
2893,311,2,1
2893,311,3,"enrolled + FA app.
but not eligible"
735,312,1,1
735,312,2,1
735,312,3,"not enrolled + FA app.
but not eligible"
19385,313,1,1
19385,313,2,1
19385,313,3,
385,314,1,1
385,314,2,2
385,314,3,0
593,315,1,1
593,315,2,2
593,315,3,0bis
3524,316,1,1
3524,316,2,2
3524,316,3,1
2937,317,1,1
2937,317,2,2
2937,317,3,2
1091,318,1,1
1091,318,2,2
1091,318,3,3
438,319,1,1
438,319,2,2
438,319,3,4
321,320,1,1
321,320,2,2
321,320,3,5
123,321,1,1
123,321,2,2
123,321,3,6
28,322,1,1
28,322,2,2
28,322,3,7
516,323,1,1
516,323,2,2
516,323,3,"enrolled + FA app.
but not eligible"
147,324,1,1
147,324,2,2
147,324,3,"not enrolled + FA app.
but not eligible"
3336,325,1,1
3336,325,2,2
3336,325,3,
124,326,1,1
124,326,2,3
124,326,3,0
209,327,1,1
209,327,2,3
209,327,3,0bis
898,328,1,1
898,328,2,3
898,328,3,1
854,329,1,1
854,329,2,3
854,329,3,2
1005,330,1,1
1005,330,2,3
1005,330,3,3
420,331,1,1
420,331,2,3
420,331,3,4
296,332,1,1
296,332,2,3
296,332,3,5
103,333,1,1
103,333,2,3
103,333,3,6
17,334,1,1
17,334,2,3
17,334,3,7
211,335,1,1
211,335,2,3
211,335,3,"enrolled + FA app.
but not eligible"
71,336,1,1
71,336,2,3
71,336,3,"not enrolled + FA app.
but not eligible"
1482,337,1,1
1482,337,2,3
1482,337,3,
59,338,1,1
59,338,2,4
59,338,3,0
83,339,1,1
83,339,2,4
83,339,3,0bis
315,340,1,1
315,340,2,4
315,340,3,1
272,341,1,1
272,341,2,4
272,341,3,2
345,342,1,1
345,342,2,4
345,342,3,3
473,343,1,1
473,343,2,4
473,343,3,4
292,344,1,1
292,344,2,4
292,344,3,5
65,345,1,1
65,345,2,4
65,345,3,6
9,346,1,1
9,346,2,4
9,346,3,7
122,347,1,1
122,347,2,4
122,347,3,"enrolled + FA app.
but not eligible"
22,348,1,1
22,348,2,4
22,348,3,"not enrolled + FA app.
but not eligible"
732,349,1,1
732,349,2,4
732,349,3,
43,350,1,1
43,350,2,5
