coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,donut,controls,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper,income_quint,mean_y,outcome,bandwidth
0.0750626663492753,0.0322822194266976,0.143231579025104,0.170063297139406,0.600233287946554,0.849446476646233,3557,2747,1,0.845906597007206,1.76844519186044,16,TRUE,FALSE,"","",-0.205671228539929,0.35579656123848,-0.301041842966539,0.365606281819934,2,13.1159622047596,quality_bacyear_plus1,mse
-0.0127875040050611,-0.0452831497266359,0.116459937116632,0.139921335683522,0.912566609235773,0.746215965470198,5019,3763,1,0.901890694589162,1.84075954684349,16,TRUE,FALSE,"","",-0.24104898075366,0.215473972743538,-0.319528967666339,0.228962668213067,3,13.2331283192711,quality_bacyear_plus1,mse
-0.126491890373266,-0.165098351151485,0.200300715733504,0.232554024069031,0.527707160489641,0.477744151413948,2893,3628,1,0.618113971814672,1.35665003180398,16,TRUE,FALSE,"","",-0.519081293210933,0.266097512464401,-0.620904238326786,0.290707536023816,4,13.2737779555601,quality_bacyear_plus1,mse
-0.0564827365704801,-0.0962565162800004,0.105389206583737,0.120823622089777,0.591997098831992,0.425642897724318,6833,7381,1,0.796721909881652,1.82138679467183,16,TRUE,FALSE,"","",-0.263045581474604,0.150080108333644,-0.333070815575964,0.140557783015963,5,13.6094414211255,quality_bacyear_plus1,mse
0.23550233970434,0.299666117098631,0.130573624682478,0.393043533336177,0.0712943361790907,0.445806540035574,4030,2564,1,1,1,16,TRUE,FALSE,*,"",-0.0204219646733174,0.491426644081997,-0.470699208240276,1.07003144243754,1,13.0293646792816,quality_bacyear_plus1,"(15, 17)"
-0.0114082797834101,0.498267334015658,0.115088442264155,0.342463056014251,0.921038071057566,0.145682529627266,4810,3090,1,1,1,16,TRUE,FALSE,"","",-0.236981626621154,0.214165067054334,-0.172960255772275,1.16949492380359,2,13.1159622047596,quality_bacyear_plus1,"(15, 17)"
0.000573280638882068,-0.0850353929936532,0.1025689792048,0.302810874772085,0.995540470493274,0.778848353580233,5833,4004,1,1,1,16,TRUE,FALSE,"","",-0.200461918602526,0.20160847988029,-0.678544707546941,0.508473921559634,3,13.2331283192711,quality_bacyear_plus1,"(15, 17)"
-0.0049746356048388,-0.056620980131207,0.091457624953753,0.272050585396741,0.956622221210456,0.835130069986367,7163,5292,1,1,1,16,TRUE,FALSE,"","",-0.184231580514195,0.174282309304517,-0.58984012750882,0.476598167246406,4,13.2737779555601,quality_bacyear_plus1,"(15, 17)"
-0.0063016246833314,-0.240420882672041,0.0770710244358128,0.233111875607104,0.934834492967989,0.302374809082062,9996,8827,1,1,1,16,TRUE,FALSE,"","",-0.157360832577524,0.144757583210862,-0.697320158861965,0.216478393517884,5,13.6094414211255,quality_bacyear_plus1,"(15, 17)"
0.115279118732637,0.0885485182508532,0.278654975100826,0.331286248315714,0.679094995380133,0.789248170176819,1487,1722,1,0.650877783511899,1.36207654795628,16,TRUE,FALSE,"","",-0.430884632464981,0.661442869930256,-0.560772528447946,0.737869564949652,1,13.1557953708338,quality_bacyear_plus2,mse
0.0736027813877485,0.0264510212901499,0.137816274620683,0.161004218123573,0.593296901779819,0.869504622043072,3176,2631,1,0.864104833734829,1.86789814946352,16,TRUE,FALSE,"","",-0.196517116868791,0.343722679644288,-0.289117246232053,0.342019288812353,2,13.2103537509726,quality_bacyear_plus2,mse
0.055757223382841,0.0583190673599887,0.186433865997989,0.225640489049783,0.764884806136947,0.796051824920222,2425,2710,1,0.669999940883926,1.38817785083949,16,TRUE,FALSE,"","",-0.309653153973218,0.4211676007389,-0.383936291177586,0.500574425897563,3,13.2993581576504,quality_bacyear_plus2,mse
-0.0408957988780259,-0.0542134822523295,0.149735444345673,0.182342883584761,0.784760694363962,0.766225160757723,3459,3831,1,0.709390972302316,1.45606809570726,16,TRUE,FALSE,"","",-0.334377269795544,0.252585672039493,-0.41160553407846,0.303178569573802,4,13.3309619433305,quality_bacyear_plus2,mse
-0.121521488703692,-0.145609281706335,0.135684051832048,0.161611422667794,0.370455206086565,0.367596906872935,4529,6076,1,0.666517246033421,1.42294808447241,16,TRUE,FALSE,"","",-0.387462230294507,0.144419252887123,-0.462367670135212,0.171149106722542,5,13.6102483315556,quality_bacyear_plus2,mse
0.175575224016647,-0.0970550667745123,0.134041539525222,0.413344230332759,0.190244278750847,0.81436050973033,3396,2351,1,1,1,16,TRUE,FALSE,"","",-0.0871461934527881,0.438296641486083,-0.90720975822672,0.713099624677695,1,13.1557953708338,quality_bacyear_plus2,"(15, 17)"
-0.00996525021379568,0.458495402598793,0.114089016190124,0.34037980134542,0.930396274987193,0.177976627515239,4107,2888,1,1,1,16,TRUE,FALSE,"","",-0.233579721946438,0.213649221518846,-0.208649008038231,1.12563981323582,2,13.2103537509726,quality_bacyear_plus2,"(15, 17)"
